;age;email;first_name;gender;genre;key;location;password;prefDate;rating;title_type;genre;top5
0;1962-07-21;Miriamtje@live.nl;Miriam;Female;['DOCUMENTARY', 'INDIGENOUS'];Miriamtje;Breda;b9)g/NG};[2018, 2019];['MA'];['Panel_Discussion', 'News', 'Documentary'];['DOCUMENTARY', 'INDIGENOUS'];"[""ABC News WA"", ""Keeping Australia Safe"", ""You Can't Ask That (Simplified Chinese Subtitles)"", ""Back In Time For Dinner"", ""Ms Represented with Annabel Crabb"", ""Bird Nerd: The Art Of Leila Jeffreys"", ""Bee Cause"", ""Final Rendezvous"", ""Lockdown Stories"", ""Australia Debates""]"
1;1993-05-26;Dortha00@icloud.com;Dortha;Female;['NEWS'];Dortha00;Rheden;z@LcT2+%;[2020, 2022];['No preference'];['Documentary'];['NEWS'];"[""Ageless Friendships"", ""The Great Australian Bee Challenge"", ""Listen Up"", ""Griff's Great Australian Rail Trip"", ""Final Rendezvous"", ""Kumi's Japan"", ""The Wonder Of Marsupials"", ""Poleng"", ""I'm Wanita"", ""War Stories""]"
2;1973-07-03;James759@gmail.com;James;Female;['KIDS'];James759;Leeuwarden;ULa%LQ%6;[2020, 2022];['No preference'];['Movie'];['KIDS'];"[""Gilda"", ""St. Elmo's Fire"", ""Control"", ""Goldstone"", ""13 Assassins"", ""Not Suitable For Children"", ""The Kids Are All Right"", ""Murray Whelan: The Brush Off"", ""Mabo"", ""The Dinner""]"
3;1984-02-03;Janinetje@hotmail.com;Janine;Female;['PANEL & DISCUSSION', 'DOCUMENTARY'];Janinetje;Apeldoorn;r+!6Gatf;[2017, 2019];['PG'];['Panel_Discussion', 'tv', 'News'];['PANEL & DISCUSSION', 'DOCUMENTARY'];"[""Space Nova"", ""Play School: Beginnings and Endings"", ""The Highway Rat"", ""Doug The Human"", ""ABC News Regional"", ""Get Into Textiles"", ""Sarah And Duck"", ""Coppelia"", ""ABC News NT"", ""The Trials Of Jimmy Rose""]"
4;1955-10-14;Cecelia759@outlook.com;Cecelia;Female;['LIFESTYLE', 'DRAMA', 'REGIONAL AUSTRALIA'];Cecelia759;Zwijndrecht;}qMYLe4^;[2017, 2019];['No preference'];['Movie', 'Documentary'];['LIFESTYLE', 'DRAMA', 'REGIONAL AUSTRALIA'];"[""Funny Girl"", ""Triangle"", ""The Chemical World"", ""Newcastle"", ""The House With Annabel Crabb"", ""David Attenborough's Flying Monsters"", ""Bad Influencer"", ""Mr Deeds Goes To Town"", ""Tempe Tip"", ""Stargazing Live""]"
5;1958-01-01;Sadye123@hotmail.nl;Sadye;Female;['EDUCATION', 'ARTS & CULTURE'];Sadye123;Zutphen;?5y@3W${;[2017, 2022];['No preference'];['Panel_Discussion', 'Documentary'];['EDUCATION', 'ARTS & CULTURE'];"[""Stargazing: Moon and Beyond"", ""Brazen Hussies"", ""Re-Frame 2020"", ""Last Man Standing: Suge Knight and the Murders of Biggie & Tupac"", ""Muster Dogs"", ""Christmas In Australia With Christine Anu"", ""Fake Or Fortune?"", ""Catching A Killer"", ""The Making Of Flying Monsters With David Attenborough"", ""Inside The Met""]"
6;1958-07-05;Annmarie759@hotmail.com;Annmarie;Female;['REGIONAL AUSTRALIA'];Annmarie759;Rheden;7$j^&P9H;[2016, 2017];['No preference'];['Documentary'];['REGIONAL AUSTRALIA'];"[""Who Killed Belinda Peisley?"", ""Revelation"", ""Scottish Vets Down Under"", ""Stargazing: Moon and Beyond"", ""Dr Kwane: The Street Vet"", ""Jaimen Hudson: From Sky To Sea"", ""Attenborough And The Empire Of The Ants"", ""Blasko"", ""Songs Of Praise: Richard III"", ""The Princes And The Press""]"
7;1955-04-06;Norene01@hotmail.com;Norene;Female;['PANEL & DISCUSSION', 'REGIONAL AUSTRALIA'];Norene01;Kerkrade;kE[&hz)4;[2017, 2022];['M', 'MA', 'PG'];['News', 'tv'];['PANEL & DISCUSSION', 'REGIONAL AUSTRALIA'];"[""Songs of Praise: Enduring Hymns"", ""Mini Lessons: Science Primary"", ""This Place: Artist Series"", ""Ben And Holly's Little Kingdom"", ""Ochres"", ""Very Small Business"", ""Annika"", ""Accused"", ""David Attenborough's Flying Monsters"", ""Mini Lessons: English""]"
8;1969-08-27;Alva759@hotmail.com;Alva;Female;['FAMILY', 'KIDS'];Alva759;Hoogeveen;g)Ev8^(M;[2016, 2017];['PG'];['News'];['FAMILY', 'KIDS'];"[""Our Dawn"", ""ABC News NT"", ""Flight To Freedom"", ""Close Of Business"", ""ABC NEWS Live Stream"", ""RetroFocus Presents: Yesterday's News"", ""David Brill's Story On The Frontlines"", ""Korea: The Bridge of No Return"", ""Q+A"", ""Shane Warne: In Conversation with Tracey Holmes""]"
9;1962-12-09;LenoreXX@outlook.com;Lenore;Female;['PANEL & DISCUSSION'];LenoreXX;Ede;($A2RFvt;[2017, 2020];['G', 'MA', 'PG'];['Movie', 'Panel_Discussion'];['PANEL & DISCUSSION'];"[""Pollock"", ""Splinter"", ""Insiders: From The Couch"", ""Let Me In"", ""Murray Whelan: The Brush Off"", ""Australia Talks 2019"", ""Griff The Invisible"", ""Murray Whelan: Stiff"", ""Cliffy"", ""Mr Smith Goes To Washington""]"
10;1967-01-01;Shonda@hotmail.nl;Shonda;Female;['PANEL & DISCUSSION'];Shonda;Maastricht;vL5(GPbK;[2018, 2020];['PG'];['News', 'Movie', 'tv'];['PANEL & DISCUSSION'];"[""Play School: Acknowledgement of Country"", ""Further Back In Time For Dinner: Daily Life In The Past"", ""Kiri and Lou"", ""hoopla doopla! (Mandarin)"", ""Annika"", ""Play School: Hello Friends!"", ""The Making Of David Attenborough's Galapagos"", ""Pollock"", ""Vanished Girl: The Disappearance Of Eve Askew"", ""The Men Who Stare At Goats""]"
11;1998-04-29;Esperanza123@gmail.com;Esperanza;Female;['KIDS', 'FAMILY'];Esperanza123;Roermond;h8VHg*yQ;[2017, 2020];['MA'];['News'];['KIDS', 'FAMILY'];"[""ABC News At Noon Weekend"", ""Lake Eyre"", ""The Anxiety Project"", ""Wide Open Spaces"", ""ABC News Regional"", ""Four Corners (Simplified Chinese Subtitles)"", ""Ukrainian President Zelenskyy addresses Australian Parliament"", ""Our Dawn"", ""ABC News VIC"", ""Vanished Girl: The Disappearance Of Eve Askew""]"
